;Francis reversible pump-turbine characteristic FR300T-Torrao a0=1_added
;a0=1 mm added (somehow created according to a0=4 mm and a0=2 mm), a0 closed added
;T11 at a0 closed taken from created a0=1
;Model Francis
;a0max = 38 mm
;y    N11    Q11    T11
<list>
a0	N11	Q11	T11
0.736842105	97.409987	1.039398914	884.5766106
0.736842105	100.0901428	1.038827183	844.6955983
0.736842105	102.5887435	1.035593776	802.3266271
0.736842105	104.9734648	1.034522107	766.2736558
0.736842105	107.577856	1.034442999	725.031271
0.736842105	109.8758981	1.030660842	680.8802471
0.736842105	112.4422071	1.031934751	645.0375981
0.736842105	115.0210279	1.030501409	597.43168
0.736842105	116.09287	0.957380827	366.158584
0.736842105	118.1253813	0.902883059	205.8894365
0.736842105	118.5798802	0.790090239	-17.504805
0.736842105	119.011215	0.677866549	-201.0857909
0.736842105	117.0577674	0.432781371	-491.7084912
0.736842105	108.3830463	-0.014823435	-681.8881556
0.736842105	108.0879231	-0.031837466	-726.5298444
0.736842105	107.5237629	-0.056267122	-761.5027844
0.736842105	106.9723311	-0.083219909	-796.7776779
0.736842105	106.2882992	-0.109010117	-828.6242149
0.736842105	105.0864841	-0.156636345	-893.2151763
0.736842105	104.8252591	-0.169158671	-912.2466144
0.736842105	104.7056811	-0.18321211	-939.6729578
0.736842105	104.9876267	-0.216584594	-1023.17909
0.736842105	105.1810809	-0.225213664	-1048.976676
0.684210526	-104.045067	-1.419193562	1521.097467
0.684210526	-102.5235802	-1.381538207	1478.967143
0.684210526	-97.69941812	-1.262633755	1364.879398
0.684210526	-94.17924896	-1.164674711	1286.673929
0.684210526	-91.06257758	-1.067450329	1206.813458
0.684210526	-88.38383338	-0.98843561	1147.032356
0.684210526	-88.12305563	-0.978418106	1134.34821
0.684210526	-85.84153397	-0.90882287	1075.487299
0.684210526	-83.47625846	-0.829299538	1005.271498
