;Francis reversible pump-turbine characteristic FR300T-Torrao a0=1_added
;a0=1 mm added (somehow created according to a0=4 mm and a0=2 mm), a0 closed added
;T11 at a0 closed taken from created a0=1
;Model Francis
;a0max = 38 mm
;y    N11    Q11    T11
<list>
a0	N11	Q11	T11
0.842105263	107.4291891	-0.17748399	-991.8999086
0.842105263	107.3206584	-0.191605978	-1020.890274
0.842105263	107.3717344	-0.209958279	-1063.506227
0.842105263	107.5794987	-0.225278586	-1104.760204
0.789473684	-103.7527766	-1.415169019	1522.001509
0.789473684	-102.0665425	-1.376517627	1465.865848
0.789473684	-97.19060489	-1.25378187	1350.37655
0.789473684	-93.88904594	-1.159429065	1276.994475
0.789473684	-90.98424693	-1.065082117	1200.854287
0.789473684	-88.23851616	-0.981823953	1143.340487
0.789473684	-86.08176957	-0.912131509	1085.018408
0.789473684	-83.91963117	-0.833282403	1019.659483
0.789473684	-82.42596815	-0.772460023	972.8392613
0.789473684	-81.34793303	-0.715839127	934.3505384
0.789473684	-80.64756895	-0.65848844	896.8537251
0.789473684	-84.80713618	-0.648021328	949.7551853
0.789473684	-84.3090981	-0.596306924	920.5967468
0.789473684	-83.83969614	-0.538877534	898.9812541
0.789473684	-82.41487446	-0.48608687	855.0788023
0.789473684	-81.50880331	-0.429540504	812.2432999
0.789473684	-80.65955532	-0.377350061	777.2794696
0.789473684	-80.29674258	-0.333473446	749.4257638
0.789473684	-79.73161954	-0.280842157	726.0568753
0.789473684	-79.04781723	-0.234651969	704.0651203
0.789473684	-78.18545013	-0.182837107	678.1865577
0.789473684	-77.46417731	-0.136702809	659.2276242
0.789473684	-76.6333863	-0.090521265	647.2053253
0.789473684	-75.76905967	-0.044666056	646.5210757
0.789473684	-72.78962988	0.050147792	640.0092614
0.789473684	-69.5515155	0.144511295	675.3421088
0.789473684	-67.57267971	0.299014953	690.6698855
0.789473684	-63.36179607	0.402002537	756.4797804
0.789473684	-56.48447996	0.499110168	848.5273296
0.789473684	-47.19656405	0.59607558	969.7214033
0.789473684	-40.20275669	0.66295705	1062.782433
0.789473684	-32.59905668	0.71382161	1153.005463
0.789473684	-25.85581524	0.754325175	1241.846826
0.789473684	-17.67076608	0.81183128	1407.225724
0.789473684	-10.50853333	0.845102855	1552.033428
0.789473684	9.946159727	0.92765791	1664.924423
0.789473684	20.31443927	0.962383523	1515.897741
0.789473684	30.21224808	0.989770494	1465.901293
0.789473684	40.14924143	1.018106855	1431.834253
0.789473684	50.3220994	1.039858686	1371.364698
0.789473684	60.16601094	1.070102846	1356.358848
0.789473684	62.51735415	1.072740204	1333.177366
0.789473684	64.91014775	1.073979375	1309.048759
0.789473684	67.41683178	1.075327619	1280.651261
0.789473684	70.05949803	1.073337082	1242.860652
0.789473684	72.56634707	1.07374985	1209.320902
0.789473684	74.98544406	1.073951059	1176.038613
0.789473684	77.51706732	1.073119959	1142.378811
0.789473684	79.1478548	1.073381568	1121.848255
0.789473684	80.53432854	1.074756457	1109.138519
0.789473684	82.03071991	1.076483115	1093.046645
0.789473684	83.44076256	1.078941255	1077.497785
0.789473684	84.92190522	1.078248206	1061.388617
0.789473684	86.50732728	1.079987782	1044.479873
0.789473684	88.05013864	1.081913709	1028.147293
0.789473684	89.45828625	1.083157839	1013.060999
0.789473684	90.97245706	1.084645282	997.5056967
0.789473684	92.47660643	1.085902461	981.1783956
0.789473684	95.10037359	1.08755484	953.3823349
0.789473684	97.46813864	1.090186961	927.5295776
0.789473684	100.1285612	1.093507682	898.4186778
0.789473684	102.4282831	1.093170164	865.9617629
0.789473684	104.9986516	1.093564291	830.1267595
0.789473684	107.638072	1.091157287	781.1761134
0.789473684	109.7551997	1.089821319	742.3487447
0.789473684	112.5808792	1.087169954	690.7001537
0.789473684	114.9352297	1.085399481	647.993329
0.789473684	117.465996	1.081174293	594.0822906
0.789473684	120.0746944	0.975260187	250.6433632
0.789473684	121.7632997	0.861628439	-10.40941244
0.789473684	122.2250099	0.710800863	-255.9264261
0.789473684	122.2001367	0.665891211	-322.2001387
0.789473684	122.1427072	0.613256098	-394.8611188
